h-index 
27
25
25
not found
not found
17
not found
not found
not found
not found
11
6
3
26
9
4
not found
11
not found
21
12
9
17
33
15
not found
not found
23
47
18
27
not found
11
not found
not found
25
9
3
34
22
18
98
25
44
13
56
10
18
22
17
10
not found
14
not found
2
4
not found
81
not found
not found
not found
not found
8
14
5
4
not found
24
5
28
not found
10
9
6
13
3
19
7
3
not found
not found
8
29
10
5
8
not found
95
60
14
not found
68
12
107
38
11
11
36
39
31
not found
not found
not found
not found
not found
not found
26
not found
not found
37
5
not found
not found
not found
8
2
not found
not found
not found
not found
not found
31
not found
13
11
17
not found
29
not found
not found
not found
not found
15
40
37
not found
not found
10
not found
not found
not found
not found
not found
not found
5
34
not found
45
7
not found
not found
4
10
7
not found
3
16
not found
13
32
4
15
13
28
11
24
19
9
not found
20
not found
19
not found
not found
6
not found
21
16
not found
44
54
7
9
not found
not found
79
not found
not found
not found
44
not found
58
6
20
6
5
6
2
not found
3
5
not found
6
not found
11
4
13
7
not found
not found
13
9
10
20
11
not found
11
not found
113
12
43
101
101
not found
not found
18
9
44
19
not found
19
9
26
11
not found
16
65
7
10
not found
14
6
6
11
19
not found
53
14
6
8
12
6
72
19
21
14
not found
1
37
not found
58
not found
11
5
22
5
not found
19
65
16
24
4
24
38
11
29
58
not found
not found
28
14
12
4
8
6
25
7
not found
3
8
98
6
not found
not found
not found
25
9
8
13
not found
not found
not found
22
6
not found
19
47
not found
32
not found
36
19
17
not found
12
not found
4
16
not found
22
31
22
not found
not found
23
28
19
9
7
not found
1
46
8
22
77
20
not found
12
28
not found
4
3
10
not found
12
not found
14
not found
not found
14
55
3
8
16
51
3
4
14
not found
30
not found
not found
not found
not found
13
not found
not found
11
70
not found
22
51
not found
44
6
not found
not found
55
10
23
10
5
not found
not found
8
22
42
32
not found
8
5
not found
not found
6
20
25
40
not found
38
29
12
40
25
not found
29
36
9
11
not found
14
17
24
71
24
12
11
6
19
25
21
64
54
23
not found
55
12
17
14
34
not found
41
5
13
16
21
22
not found
not found
not found
32
20
not found
34
24
51
25
not found
9
not found
11
not found
6
22
113
106
11
17
not found
15
not found
6
51
not found
8
5
101
not found
not found
not found
10
not found
6
123
29
34
not found
not found
17
13
15
not found
not found
26
2
13
73
not found
7
18
13
not found
16
26
not found
15
10
21
9
13
not found
48
7
17
4
7
not found
14
not found
6
not found
16
not found
23
not found
not found
16
19
7
18
17
not found
not found
not found
95
7
not found
not found
33
22
not found
25
87
19
not found
not found
34
16
12
not found
not found
18
8
not found
not found
not found
2
27
10
114
not found
23
10
not found
not found
not found
11
11
not found
9
11
8
6
11
26
not found
14
6
not found
29
not found
10
9
11
33
26
not found
not found
17
not found
23
13
12
40
6
11
25
not found
not found
not found
29
10
10
29
70
8
not found
19
not found
29
not found
not found
8
2
23
not found
8
26
35
23
5
38
3
127
16
26
101
16
not found
11
12
not found
not found
6
not found
30
13
6
15
not found
13
20
54
15
43
not found
6
not found
12
7
18
not found
14
68
14
12
not found
not found
23
90
10
35
55
21
not found
4
not found
not found
17
24
51
not found
36
42
15
37
not found
4
20
19
not found
not found
22
20
8
27
19
not found
12
17
not found
5
10
not found
not found
32
not found
18
22
11
24
not found
not found
13
28
11
9
9
not found
9
11
6
11
not found
22
31
23
not found
18
82
12
43
not found
not found
14
21
12
11
25
23
not found
not found
8
37
12
15
not found
25
42
not found
14
not found
12
5
14
not found
not found
11
not found
30
7
21
17
36
21
not found
32
19
27
not found
61
not found
15
not found
33
117
not found
23
15
25
36
35
not found
not found
29
5
not found
19
68
37
36
not found
24
not found
not found
21
27
17
not found
42
34
12
not found
168
not found
26
46
11
36
43
not found
17
not found
9
not found
9
107
19
61
18
39
26
not found
54
18
3
not found
6
8
4
9
not found
5
not found
not found
9
1
20
not found
66
14
38
not found
not found
16
4
6
77
6
not found
not found
15
25
not found
not found
not found
not found
34
16
32
14
not found
9
not found
not found
not found
8
14
16
57
not found
18
6
42
not found
10
34
39
not found
14
21
13
9
4
not found
9
8
not found
